"data_type","num","precision1","Recall1","Fs1","precision2","Recall2","Fs2","precision3","Recall3","Fs3","precision4","Recall4","Fs4","precision5","Recall5","Fs5","precision6","Recall6","Fs6","precision7","Recall7","Fs7","precision8","Recall8","Fs8","precision9","Recall9","Fs9","precision10","Recall10","Fs10"
"BPIC13OpenProblems","0.2","0.472527472527473","0.472527472527473","0.472527472527473","0.538461538461538","0.538461538461538","0.538461538461538","0.481132075471698","0.56043956043956","0.517766497461929","0.536842105263158","0.56043956043956","0.548387096774194","0.447368421052632","0.373626373626374","0.407185628742515","0.560975609756098","0.505494505494505","0.531791907514451","0.426470588235294","0.318681318681319","0.364779874213836","0.589041095890411","0.472527472527473","0.524390243902439","0.243093922651934","0.967032967032967","0.388520971302428","0.166351606805293","0.967032967032967","0.283870967741936"
"BPIC13OpenProblems","0.3","0.488188976377953","0.488188976377953","0.488188976377953","0.503937007874016","0.503937007874016","0.503937007874016","0.425","0.803149606299213","0.555858310626703","0.456521739130435","0.661417322834646","0.540192926045016","0.52112676056338","0.291338582677165","0.373737373737374","0.641975308641975","0.409448818897638","0.5","0.515625","0.259842519685039","0.345549738219895","0.671232876712329","0.385826771653543","0.49","0.491666666666667","0.464566929133858","0.477732793522267","0.384328358208955","0.811023622047244","0.521518987341772"
"BPIC20Domestic","0.05","0.710371819960861","0.710371819960861","0.710371819960861","0.847358121330724","0.847358121330724","0.847358121330724","0.731182795698925","0.931506849315068","0.819277108433735","0.834845735027223","0.900195694716243","0.866290018832392","0.729965156794425","0.819960861056751","0.772350230414746","0.784688995215311","0.962818003913894","0.864674868189807","0.724050632911392","0.559686888454012","0.631346578366446","0.852657004830918","0.690802348336595","0.763243243243243","0.731182795698925","0.931506849315068","0.819277108433735","0.674386920980926","0.968688845401174","0.795180722891566"
"BPIC20Domestic","0.1","0.79047619047619","0.79047619047619","0.79047619047619","0.836190476190476","0.836190476190476","0.836190476190476","0.752969121140142","0.905714285714286","0.82230869001297","0.820242914979757","0.964761904761905","0.886652078774617","0.8","0.537142857142857","0.642735042735043","0.871862615587847","0.628571428571429","0.73049252905368","0.810483870967742","0.382857142857143","0.520051746442432","0.89065606361829","0.426666666666667","0.576947842884739","0.808460634547591","0.655238095238095","0.723829563387691","0.795133437990581","0.964761904761905","0.871772805507745"
"BPIC20Domestic","0.2","0.798839458413926","0.798839458413926","0.798839458413926","0.870889748549323","0.870889748549323","0.870889748549323","0.8088","0.977756286266925","0.885288966725044","0.812145748987854","0.970019342359768","0.884089907448215","0.87239263803681","0.343810444874275","0.493236212278876","0.93125","0.432301740812379","0.590488771466314","0.875954198473282","0.221953578336557","0.354166666666667","0.93952802359882","0.308027079303675","0.4639475600874","0.883520276100086","0.495164410058027","0.634645181282925","0.932323232323232","0.446324951644101","0.603662524525834"
"BPIC20Domestic","0.3","0.859848484848485","0.859848484848485","0.859848484848485","0.831123737373737","0.831123737373737","0.831123737373737","0.843556555993247","0.946338383838384","0.891996429634037","0.852157186040121","0.97885101010101","0.911120904950786","0.89281210592686","0.223484848484848","0.357485483463772","0.946236559139785","0.305555555555556","0.461942257217848","0.892138939670932","0.154040404040404","0.262718707940781","0.938461538461538","0.211805555555556","0.345609065155807","0.875347801892042","0.496527777777778","0.633635448136959","0.931803696622052","0.461489898989899","0.617268313278446"
"BPIC20International","0.05","0.546916890080429","0.546916890080429","0.546916890080429","0.630026809651475","0.630026809651475","0.630026809651475","0.475382003395586","0.750670241286863","0.582120582120582","0.631720430107527","0.630026809651475","0.630872483221477","0.47787610619469","0.723860589812332","0.575692963752665","0.519480519480519","0.750670241286863","0.614035087719298","0.5","0.648793565683646","0.564760793465578","0.61439588688946","0.640750670241287","0.627296587926509","0.182220039292731","0.994638069705094","0.308011623080116","0.253521126760563","0.96514745308311","0.401561628555494"
"BPIC20International","0.1","0.598811292719168","0.598811292719168","0.598811292719168","0.650817236255572","0.650817236255572","0.650817236255572","0.560043668122271","0.762258543833581","0.645689112649465","0.619105199516324","0.760772659732541","0.682666666666667","0.626279863481229","0.545319465081724","0.583002382843527","0.693548387096774","0.575037147102526","0.628757108042242","0.649621212121212","0.509658246656761","0.571190674437968","0.725806451612903","0.468053491827637","0.569105691056911","0.381095725466586","0.940564635958395","0.542416452442159","0.389059618930547","0.940564635958395","0.550434782608696"
"BPIC20International","0.2","0.710260115606936","0.710260115606936","0.710260115606936","0.735549132947977","0.735549132947977","0.735549132947977","0.651293588301462","0.836705202312139","0.732447817836812","0.69631363370392","0.859826589595376","0.769479469770449","0.811267605633803","0.416184971098266","0.550143266475645","0.85691573926868","0.389450867052023","0.53551912568306","0.816860465116279","0.40606936416185","0.542471042471042","0.888086642599278","0.355491329479769","0.507739938080495","0.587831655992681","0.928468208092486","0.719887955182073","0.71622539035981","0.76228323699422","0.738536926846342"
"BPIC20International","0.3","0.740740740740741","0.740740740740741","0.740740740740741","0.761606677099635","0.761606677099635","0.761606677099635","0.66742944317315","0.912884715701617","0.771094954835867","0.695811305408703","0.892540427751695","0.781992687385741","0.860495436766623","0.344287949921753","0.491803278688525","0.903631284916201","0.337506520605112","0.491454614508166","0.86034255599473","0.340636411058946","0.488041853512706","0.901615271659325","0.320292123109024","0.472671285604311","0.615539182853315","0.958789775691184","0.749745054048542","0.867303609341826","0.426186750130412","0.571528506470794"
